word,word_id,sent,start,stop
дуло,дуло_noun,"Выхватив пистолет, он падает на колени, приставляет дуло к виску и грозит застрелиться на её глазах, если она сию же минуту не согласится на то, о чём её умолял приёмный ""отец"". ",53,57
дуло,дуло_noun,Данзас подал Пушкину другой пистолет: дуло первого при падении забилось снегом. ,39,43
дуло,дуло_noun,"Андрей открыл глаза и увидел наставленное на него дуло, оказавшееся краником фильтра; руки и ноги его были связаны; упёршись во что-то ногами, он приподнялся и не удивился, когда увидел Аркадия Кальцатого, потому что ощущение, что тот где-то рядом, не покидало его всю эту ночь. ",51,55
дуло,дуло_noun,"Он выстрелил, сунув дуло ""ТТ"" под мышку, в стену. ",21,25
дуло,дуло_noun,"Соседи проснулись и стали давать советы самоубийце: ""Ты в рот, в рот дуло-то положь! ",70,74
дуло,дуло_noun,"Папе с мамой квартира нравилась: просторная, четырехкомнатная, с высокими потолками и большими окнами. Правда, от окон дуло. ""Зато как хорошо тут будет летом!"" ― говорил папа. ",120,124
дуло,дуло_noun,"Затем ощутил на себе взгляд, холодный и твёрдый, как дуло. ",54,58
дуло,дуло_noun,Шурка вскочил с дивана и за дуло выволок ружьё из прихожей. ,29,33
дуло,дуло_noun,"Обиду стёрла кровь, и ты, ты думаешь, по нём вздыхая, что я приставлю дуло (я!) к виску? ",71,75
дуло,дуло_noun,"И люди заторопились, рядом лежат убитые и недобитые, хрипят и корчатся раненые, и перед тобой дуло автомата, над тобой хлыст и плётка! ",95,99
дуло,дуло_noun,"Он кричал, свистел, но неизвестный пёр на него, прямо в круглое дуло русской винтовки ― вот он выстрелил и попал. ",65,69
дуло,дуло_noun,"Вот и выходит: ты тут стоишь, а смерть твоя в окопе: её из Берлина привезли, в австрийское дуло вложили, турку в руки придали. ",92,96
дуло,дуло_noun,"Сержант быстро повернул колесо, и длинное дуло противотанкового ружья склонилось к земле. ",43,47
дуло,дуло_noun,"Азазелло, который сидел отвернувшись от подушки, вынул из кармана фрачных брюк чёрный автоматический пистолет, положил дуло на плечо и, не поворачиваясь к кровати, выстрелил, вызвав весёлый испуг в Маргарите. ",120,124
дуло,дуло_noun,"Кот покачивался в люстре, размахи которой всё уменьшались, дуя зачем-то в дуло браунинга и плюя себе на лапу.",75,79
дуло,дуло_noun,"Я приложил дуло к виску, неверным пальцем нашарил собачку. ",12,16
дуло,дуло_noun,"А последнее пальтишко стащут с него в переулке, вежливо прикладывая дуло револьвера к уху. ",69,73
дуло,дуло_noun,"В мгновенье ока он выхватил пистолет, взвёл курок, приставил дуло ко лбу Малек-Аделя, выстрелил…",62,66
дуло,дуло_noun,"Вдруг он опустил дуло пистолета и, побледнев как полотно, повернулся к своему секунданту. ",18,22
