word	word_id	sent	start	stop
печь	печь_noun	Входим в дом, открыв дверь, попадаем в кухню: печь, налево окно, рядом небольшой стол, керосиновая лампа и три деревянных стула.	47	51
печь	печь_noun	Ушла она в свою комнату, а меня соседка (милейшая женщина) пригласила, научила немецкий сливовый пирог печь, успокоила меня (у неё дети в моём возрасте).	104	108
печь	печь_noun	Почему бы мотоцикл не превратить в сказочного Конька-Горбунка, а бронетранспортёр ― в печь самоходку из сказки "По щучьему веленью"?	87	91
печь	печь_noun	Оценивая разные варианты переработки отходов, областные чиновники пока пришли к одному выводу ― отправлять мусор в печь не следует.	116	120
печь	печь_noun	Печь Ванюкова способна переплавить что угодно, в том числе медицинские, строительные и химические отходы, которые Свердловская область не знает куда девать.	1	5
печь	печь_noun	Натопили печь, напекли картошки, женщины приготовили гуся с яблоками, во дворе мы нарядили огромную красавицу ёлку и стали пускать фейерверки, а на следующее утро катались насанках с горы.	10	14
печь	печь_noun	За лето Данила успел кое-что сделать по дому, чего надо, выкрасил, подлатал, всему учась в процессе жизни и по подсказке опытных людей, подремонтировал печь, переложил трубу, починилкрыльцо, сгнившие сусеки в подполье подладил.	153	157
печь	печь_noun	Располоснула на четыре части фото, бросила клочки в печь, отряхнула руки о передничек и вдруг начала неумело бросать кресты на себя, глядя на картонную иконку, которую сама же икупила за двадцать рублей после смерти Аркаши.	53	57
печь	печь_noun	Вместе с возвращением к единственной женщине, рожавшей ему детей, закольцевав свою блудную судьбу, дед вернулся и на некогда купленную дачу и успел построить в садовом домике голландскую печь, обнести участок новым забором и расширить террасу, где теперь не помещалось его уродливо-грузное, непослушное тело.	188	192
печь	печь_noun	Теперь восстановили большую печь ― готовили еду на больных, ― помещение перегородили и Павлу Алексеевичу отвели две комнатки с отдельным входом.	29	33
печь	печь_noun	― Тёть Вась, я полы могу мыть и стирать. И печь топить могу. Я у Фени не хочу жить-то, у неё своих полно.	44	48
печь	печь_noun	Как убоги дома нашего деревенского детства, когда через долгое время, привыкнув к иному, ступишь через древний порог: ситцевая занавеска, небелёная печь, железная кровать, облупленная клеёнка на столе, малые оконца, запылённая электрическая лампочка на шнуре.	149	153
печь	печь_noun	Он выписывал журналы и покупал книги о прикладных ремёслах, из них узнавал, как штукатурить стены, настилать полы, выложить печь, теоретически он вполне мог владеть рубанком, мастерком, топором, молотком и гвоздодёром, прикупал время от времени эти инструменты и аккуратно раскладывал на полках в крохотной кладовой, часто по вечерам открывал её, любуясь ухоженными, готовыми к делу предметами строительной работы.	125	129
печь	печь_noun	Та же печь, те же стены, а потолок почему-то приспустился.	7	11
печь	печь_noun	Что-то переместилось в голосе, сошёл он совсем уж с горького места, среди которого, взняв обгорелую трубу, стояла печь с задымлённым челом, и из неё, из трубы той, разносило по опустошённой земле вой, стон иль просто ввысь посланный вздох.	115	119
печь	печь_noun	Хата и внутри имела вид ещё тот: пол не мазан, печь черна, окна забиты где чем.	48	52
печь	печь_noun	Засунув чугунок с картошкой в печь, она подсела к печи, сведённые простудой пальцы засовывала в самый огонь ― грела.	31	35
печь	печь_noun	Выбирался Яков из дома, свистел возле Капустиных и Башелуковых. Техничка тётя Варя топила печь.	91	95
печь	печь_noun	Есть пример тому: в Ветхом Завете рассказывается, как трое молодых людей отказались исполнять приказание властителя поклоняться идолам и за это были брошены в огонь, в печь огненную.	169	173
печь	печь_noun	Он с изумлением воскликнул: не трёх ли я бросил в эту печь, как же в этой печи сейчас четыре человека, и один из них ― во славе Сына Божия?!	55	59
печь	печь_noun	Кухня была очень большая, и в ней располагалась чудовищного размера печь, используемая населением лишь по большим праздникам.	69	73
