word	word_id	sent	start	stop
дуло	дуло_noun	Выхватив пистолет, он падает на колени, приставляет дуло к виску и грозит застрелиться на её глазах, если она сию же минуту не согласится на то, о чём её умолял приёмный "отец". [Владислав Отрошенко. Эссе из книги «Тайная история творений» // «Октябрь», 2001] [омонимия снята]	53	57
дуло	дуло_noun	Данзас подал Пушкину другой пистолет: дуло первого при падении забилось снегом. [Владислав Отрошенко. Эссе из книги «Тайная история творений» // «Октябрь», 2001] [омонимия снята]	39	43
дуло	дуло_noun	Андрей открыл глаза и увидел наставленное на него дуло, оказавшееся краником фильтра; руки и ноги его были связаны; упёршись во что-то ногами, он приподнялся и не удивился, когда увидел Аркадия Кальцатого, потому что ощущение, что тот где-то рядом, не покидало его всю эту ночь. [Анатолий Азольский. Лопушок // «Новый Мир», 1998] [омонимия снята]	51	55
дуло	дуло_noun	Он выстрелил, сунув дуло "ТТ" под мышку, в стену. [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]	21	25
дуло	дуло_noun	Соседи проснулись и стали давать советы самоубийце: "Ты в рот, в рот дуло-то положь! [Эдуард Лимонов. У нас была Великая Эпоха (1987)] [омонимия снята]	70	74
дуло	дуло_noun	Папе с мамой квартира нравилась: просторная, четырехкомнатная, с высокими потолками и большими окнами. Правда, от окон дуло. "Зато как хорошо тут будет летом!" ― говорил папа. [И. Грекова. Фазан (1984)] [омонимия снята]	120	124
дуло	дуло_noun	Затем ощутил на себе взгляд, холодный и твёрдый, как дуло. [Сергей Довлатов. Заповедник (1983)] [омонимия снята]	54	58
дуло	дуло_noun	Шурка вскочил с дивана и за дуло выволок ружьё из прихожей. [Юрий Коваль. У Кривой сосны (1979)] [омонимия снята]	29	33
дуло	дуло_noun	Обиду стёрла кровь, и ты, ты думаешь, по нём вздыхая, что я приставлю дуло (я!) к виску? [В. П. Катаев. Алмазный мой венец (1975-1977)] [омонимия снята]	71	75
дуло	дуло_noun	И люди заторопились, рядом лежат убитые и недобитые, хрипят и корчатся раненые, и перед тобой дуло автомата, над тобой хлыст и плётка! [Анатолий Рыбаков. Тяжелый песок (1975-1977)] [омонимия снята]	95	99
дуло	дуло_noun	Он кричал, свистел, но неизвестный пёр на него, прямо в круглое дуло русской винтовки ― вот он выстрелил и попал. [Ю. О. Домбровский. Леди Макбет (1970)] [омонимия снята]	65	69
дуло	дуло_noun	Вот и выходит: ты тут стоишь, а смерть твоя в окопе: её из Берлина привезли, в австрийское дуло вложили, турку в руки придали. [Ю. О. Домбровский. Хранитель древностей, часть 2 (1964)] [омонимия снята]	92	96
дуло	дуло_noun	Сержант быстро повернул колесо, и длинное дуло противотанкового ружья склонилось к земле. [Василий Гроссман. Жизнь и судьба, ч. 1 (1960)] [омонимия снята]	43	47
дуло	дуло_noun	Азазелло, который сидел отвернувшись от подушки, вынул из кармана фрачных брюк чёрный автоматический пистолет, положил дуло на плечо и, не поворачиваясь к кровати, выстрелил, вызвав весёлый испуг в Маргарите. [М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940)] [омонимия снята]	120	124
дуло	дуло_noun	Кот покачивался в люстре, размахи которой всё уменьшались, дуя зачем-то в дуло браунинга и плюя себе на лапу. [М. А. Булгаков. Мастер и Маргарита, часть 2 (1929-1940)] [омонимия снята]	75	79
дуло	дуло_noun	Я приложил дуло к виску, неверным пальцем нашарил собачку. [М. А. Булгаков. Записки покойника (Театральный роман) (1936-1937)] [омонимия снята]	12	16
дуло	дуло_noun	А последнее пальтишко стащут с него в переулке, вежливо прикладывая дуло револьвера к уху. [Б. К. Зайцев. Улица св. Николая (1921)] [омонимия снята]	69	73
дуло	дуло_noun	В мгновенье ока он выхватил пистолет, взвёл курок, приставил дуло ко лбу Малек-Аделя, выстрелил… [И. С. Тургенев. Конец Чертопханова (1872)] [омонимия снята]	62	66
дуло	дуло_noun	Вдруг он опустил дуло пистолета и, побледнев как полотно, повернулся к своему секунданту. [М. Ю. Лермонтов. Герой нашего времени (1839-1841)] [омонимия снята]	18	22
дуло	дуло_noun	― Господа, я вас прошу не трогаться с места! ― сказал Вулич, приставя дуло пистолета ко лбу. [М. Ю. Лермонтов. Герой нашего времени (1839-1841)] [омонимия снята]	71	75
дуло	дуло_noun	А Катя, про которую все немножко забыли, вдруг кривовато усмехнулась, перехватила кольт за дуло и рукоятью вперед сунула Демидову. [Марина Зосимкина. Ты проснешься. Книга первая (2015)] [омонимия не снята]	92	96
дуло	дуло_noun	Я лежу в обнимку с трофейным автоматом, дуло холодит висок. [Геннадий Башкуев. Маленькая война // «Сибирские огни», 2013] [омонимия не снята]	41	45
дуло	дуло_noun	Разведка донесла, ― покосился на дуло моего мелкокалиберного «язык» и прогнусавил с обидой: ― Неправда, че ль? [Геннадий Башкуев. Маленькая война // «Сибирские огни», 2013] [омонимия не снята]	34	38
дуло	дуло_noun	― дуло пистолета прыгает, рукоять скользит в потных ладонях. [Геннадий Башкуев. Маленькая война // «Сибирские огни», 2013] [омонимия не снята]	3	7
дуло	дуло_noun	Пока этот воин правопорядка возился, дуло его короткого автомата скреблось то о носилки, то об пол. [Алексей Моторов. Преступление доктора Паровозова (2013)] [омонимия не снята]	38	42
дуло	дуло_noun	А приложил дуло к собственному сердцу — и не смог. [Майя Кучерская. Тетя Мотя // «Знамя», 2012] [омонимия не снята]	12	16
дуло	дуло_noun	Печигин увидел, что ближайший к нему охранник направил дуло на него и непонятно орет, разевая маленький рот на большом угреватом лице, одно и то же слово. [Евгений Чижов. Перевод с подстрочника (2012)] [омонимия не снята]	56	60
дуло	дуло_noun	Спереди торчало дуло, а вдоль корпуса, как сложенные за спиной руки, лежали оба манипулятора. [Леонид Каганов. Танкетка (2011)] [омонимия не снята]	17	21
дуло	дуло_noun	Я не видела никакого дула, хотя из разговоров взрослых уже знала, что оно от ружья и круглое (хотя понятия не имела, что такое ружьё и почему оно круглое), но раз мама говорит, что в коридоре дуло, значит в коридоре ― дуло! [Татьяна Соломатина. Мой одесский язык (2011)] [омонимия не снята]	193	197
дуло	дуло_noun	Ну, я тропить-то (идти по следу, охотничий жаргон ― РР) умел, охотой в молодости увлекался ― потом уже завязал дуло узелком. [Шура Буртин, Ясон Бадридзе. Между человеком и волком // «Русский репортер», № 15 (143), 22-29 апреля 2010, 2010] [омонимия не снята]	112	116
