word	word_id	sent	start	stop
жаркое	жаркое_noun	Спроси шпигованного зайца, жирного каплуна, жаркое из баранины с чесноком и четыре бутылки старого бургундского!	45	51
жаркое	жаркое_noun	Из мясного обязательно попробуй бигос ― блюдо из разнообразных сортов мяса и квашеной капусты, а также жаркое из дикого кабана или знаменитые колбасы.	104	110
жаркое	жаркое_noun	Поскольку супы входили в первую перемену блюд, то к ним маркиз и его повар добавили фазаньи окорочка, жаренную на углях слабосоленую говядину, а в качестве главного антре ― говяжье жаркое с маринадом и жареные телячьи котлеты. 	182	188
жаркое	жаркое_noun	Из вас выйдет превосходное жаркое, сэр!"― "А из вас, ― кричал я, задыхаясь от счастливого хохота, ― из вас, сэр, выйдет очень хорошая поджаристая котлета!	28	34
жаркое	жаркое_noun	При магазине закусочная, купил, что тебе надо, и пожалуйста: хочешь ― пей рюмку, хочешь ― жаркое, хочешь ― пивка.	91	97
жаркое	жаркое_noun	Но почему же не попробовать на них собаку и парочку не убить на жаркое?	65	71
жаркое	жаркое_noun	Если не надо подавать во щах говядину, то можно взять рёбра от толстого или тонкого края, вырезку же употребить на бифштекс или жаркое.	129	135
жаркое	жаркое_noun	Если на второе блюдо нужна жареная говядина или зразы, то взять 6-7 фунтов говядины от тонкого или толстого края, срезать ребра, употребить их на щи, борщ и пр., а мягкую часть- на жаркое.	182	188
жаркое	жаркое_noun	Нарочно для супа можно иногда и не покупать говядину, а варить его из говяжьих обрезков и костей, оставшихся от жаркого, из обрезков и костей говядины, индеек, куриц и пр., которые назначены на жаркое, если этих обрезков наберётся до 3 фунтов.	195	201
жаркое	жаркое_noun	Каждый суп и жаркое, которое варится, печётся, жарится или тушится, надо ставить сперва на большой огонь, а потом дожаривать или доваривать на меньшем огне.	14	20
жаркое	жаркое_noun	Когда говядина тушится в кастрюле, то надо чаще её переворачивать, поднимая, метать ложкой соус с кореньями и хлебом-для того, чтобы жаркое не подгорело.	134	140
жаркое	жаркое_noun	Также и жаркое, обмазав маслом и подлив 2-3 ложки воды, надо ставить его на противне сразу в горячую печь, чтобы обжарилось кругом.	9	15
жаркое	жаркое_noun	Но никогда не употребляют для этого газетную, т. е. печатную бумагу. Всякое готовое жаркое узнаётся по соусу. Если он ещё кровянистый― знак, что оно не готово.	85	91
жаркое	жаркое_noun	Очень выгодно брать, напр., на 6-8 человек 15 фунтов говядины зараз-от ссека или толстой горбушки, потому что из них можно приготовить суп и жаркое на 3 дня, а именно	142	148
жаркое	жаркое_noun	6 ф. мягкой говядины отрезать на жаркое, изжарить его целым куском в кастрюльке; в первый день подать с картофелем, на второй день- с макаронами 	34	40
жаркое	жаркое_noun	Жарится, как жаркое на противне-на 2 крест-накрест сложённых лучинках. 	14	20
жаркое	жаркое_noun	Кусок сухого бульона распустить в 1/ 2 стакана воды, снять с соуса из-под жаркого жир, смешать с распущенным сухим бульоном; прибавить капорцов или лука-шарлот, поджаренного в жире, собранном с соуса, или маринованных боровиков или рыжиков, вскипятить, облить сложенное на блюдо жаркое.	280	286
жаркое	жаркое_noun	Картина известная: от торта пахнет жареной телятиной, от чаю сыром, сахар солёный, всё это и у нас было, не исключая и толстой синей бумаги, в которую завертывают пироги и жаркое.	173	179
жаркое	жаркое_noun	На всё способная Теодора сделала похлёбку и жаркое. 	45	51
